H	C	q
0.413317	0.340399	-10.000000
0.417791	0.342284	-9.900000
0.422378	0.344154	-9.800000
0.427081	0.346008	-9.700000
0.431903	0.347840	-9.600000
0.436849	0.349647	-9.500000
0.441923	0.351424	-9.400000
0.447129	0.353167	-9.300000
0.452471	0.354870	-9.200000
0.457955	0.356527	-9.100000
0.463584	0.358132	-9.000000
0.469364	0.359677	-8.900000
0.475299	0.361156	-8.800000
0.481394	0.362560	-8.700000
0.487654	0.363880	-8.600000
0.494084	0.365108	-8.500000
0.500689	0.366231	-8.400000
0.507475	0.367241	-8.300000
0.514445	0.368124	-8.200000
0.521606	0.368867	-8.100000
0.528963	0.369459	-8.000000
0.536519	0.369883	-7.900000
0.544281	0.370124	-7.800000
0.552251	0.370167	-7.700000
0.560436	0.369993	-7.600000
0.568837	0.369585	-7.500000
0.577459	0.368924	-7.400000
0.586305	0.367989	-7.300000
0.595377	0.366760	-7.200000
0.604676	0.365216	-7.100000
0.614202	0.363335	-7.000000
0.623957	0.361095	-6.900000
0.633937	0.358473	-6.800000
0.644140	0.355447	-6.700000
0.654562	0.351996	-6.600000
0.665195	0.348098	-6.500000
0.676034	0.343733	-6.400000
0.687066	0.338884	-6.300000
0.698280	0.333534	-6.200000
0.709662	0.327670	-6.100000
0.721193	0.321280	-6.000000
0.732853	0.314359	-5.900000
0.744619	0.306904	-5.800000
0.756465	0.298919	-5.700000
0.768362	0.290413	-5.600000
0.780278	0.281399	-5.500000
0.792179	0.271901	-5.400000
0.804026	0.261946	-5.300000
0.815780	0.251571	-5.200000
0.827399	0.240820	-5.100000
0.838841	0.229742	-5.000000
0.850060	0.218397	-4.900000
0.861014	0.206847	-4.800000
0.871659	0.195162	-4.700000
0.881953	0.183416	-4.600000
0.891856	0.171685	-4.500000
0.901332	0.160048	-4.400000
0.910347	0.148582	-4.300000
0.918875	0.137364	-4.200000
0.926892	0.126467	-4.100000
0.934381	0.115960	-4.000000
0.941332	0.105902	-3.900000
0.947740	0.096350	-3.800000
0.953606	0.087346	-3.700000
0.958938	0.078928	-3.600000
0.963749	0.071120	-3.500000
0.968057	0.063939	-3.400000
0.971885	0.057391	-3.300000
0.975258	0.051473	-3.200000
0.978205	0.046174	-3.100000
0.980758	0.041475	-3.000000
0.982947	0.037351	-2.900000
0.984806	0.033771	-2.800000
0.986366	0.030702	-2.700000
0.987658	0.028107	-2.600000
0.988712	0.025947	-2.500000
0.989556	0.024182	-2.400000
0.990215	0.022775	-2.300000
0.990714	0.021688	-2.200000
0.991074	0.020885	-2.100000
0.991314	0.020332	-2.000000
0.991450	0.020000	-1.900000
0.991497	0.019860	-1.800000
0.991468	0.019887	-1.700000
0.991373	0.020060	-1.600000
0.991221	0.020360	-1.500000
0.991021	0.020769	-1.400000
0.990777	0.021275	-1.300000
0.990497	0.021866	-1.200000
0.990183	0.022530	-1.100000
0.989840	0.023262	-1.000000
0.989470	0.024052	-0.900000
0.989076	0.024897	-0.800000
0.988659	0.025790	-0.700000
0.988222	0.026729	-0.600000
0.987764	0.027710	-0.500000
0.987288	0.028731	-0.400000
0.986794	0.029789	-0.300000
0.986282	0.030884	-0.200000
0.985754	0.032012	-0.100000
0.985209	0.033174	-0.000000
0.984648	0.034368	0.100000
0.984071	0.035593	0.200000
0.983478	0.036849	0.300000
0.982869	0.038135	0.400000
0.982245	0.039450	0.500000
0.981605	0.040795	0.600000
0.980950	0.042169	0.700000
0.980279	0.043571	0.800000
0.979592	0.045001	0.900000
0.978890	0.046460	1.000000
0.978172	0.047947	1.100000
0.977438	0.049461	1.200000
0.976688	0.051003	1.300000
0.975922	0.052572	1.400000
0.975139	0.054169	1.500000
0.974341	0.055794	1.600000
0.973525	0.057446	1.700000
0.972693	0.059126	1.800000
0.971844	0.060833	1.900000
0.970978	0.062567	2.000000
0.970094	0.064329	2.100000
0.969193	0.066119	2.200000
0.968273	0.067936	2.300000
0.967336	0.069781	2.400000
0.966380	0.071653	2.500000
0.965405	0.073554	2.600000
0.964412	0.075482	2.700000
0.963399	0.077439	2.800000
0.962367	0.079424	2.900000
0.961314	0.081437	3.000000
0.960241	0.083478	3.100000
0.959148	0.085548	3.200000
0.958034	0.087647	3.300000
0.956898	0.089774	3.400000
0.955741	0.091931	3.500000
0.954561	0.094116	3.600000
0.953359	0.096330	3.700000
0.952134	0.098574	3.800000
0.950886	0.100847	3.900000
0.949614	0.103150	4.000000
0.948318	0.105482	4.100000
0.946997	0.107844	4.200000
0.945652	0.110235	4.300000
0.944280	0.112657	4.400000
