H	C	q
0.289913	0.266781	-10.000000
0.292522	0.268733	-9.900000
0.295198	0.270723	-9.800000
0.297945	0.272751	-9.700000
0.300765	0.274818	-9.600000
0.303659	0.276924	-9.500000
0.306631	0.279069	-9.400000
0.309684	0.281253	-9.300000
0.312820	0.283477	-9.200000
0.316043	0.285740	-9.100000
0.319355	0.288042	-9.000000
0.322761	0.290383	-8.900000
0.326264	0.292763	-8.800000
0.329868	0.295181	-8.700000
0.333576	0.297635	-8.600000
0.337394	0.300127	-8.500000
0.341326	0.302653	-8.400000
0.345378	0.305214	-8.300000
0.349553	0.307807	-8.200000
0.353859	0.310431	-8.100000
0.358302	0.313083	-8.000000
0.362887	0.315761	-7.900000
0.367621	0.318461	-7.800000
0.372513	0.321181	-7.700000
0.377570	0.323917	-7.600000
0.382801	0.326664	-7.500000
0.388215	0.329416	-7.400000
0.393821	0.332169	-7.300000
0.399631	0.334915	-7.200000
0.405655	0.337646	-7.100000
0.411905	0.340354	-7.000000
0.418393	0.343030	-6.900000
0.425134	0.345661	-6.800000
0.432142	0.348236	-6.700000
0.439431	0.350741	-6.600000
0.447017	0.353160	-6.500000
0.454916	0.355474	-6.400000
0.463147	0.357666	-6.300000
0.471727	0.359712	-6.200000
0.480673	0.361588	-6.100000
0.490004	0.363267	-6.000000
0.499739	0.364721	-5.900000
0.509896	0.365915	-5.800000
0.520492	0.366815	-5.700000
0.531543	0.367383	-5.600000
0.543065	0.367578	-5.500000
0.555070	0.367356	-5.400000
0.567566	0.366674	-5.300000
0.580559	0.365483	-5.200000
0.594049	0.363737	-5.100000
0.608029	0.361389	-5.000000
0.622488	0.358396	-4.900000
0.637402	0.354715	-4.800000
0.652740	0.350311	-4.700000
0.668460	0.345158	-4.600000
0.684506	0.339239	-4.500000
0.700812	0.332549	-4.400000
0.717296	0.325102	-4.300000
0.733863	0.316926	-4.200000
0.750407	0.308073	-4.100000
0.766809	0.298614	-4.000000
0.782938	0.288645	-3.900000
0.798658	0.278282	-3.800000
0.813828	0.267661	-3.700000
0.828304	0.256939	-3.600000
0.841948	0.246284	-3.500000
0.854628	0.235874	-3.400000
0.866224	0.225889	-3.300000
0.876628	0.216508	-3.200000
0.885753	0.207897	-3.100000
0.893531	0.200210	-3.000000
0.899913	0.193579	-2.900000
0.904872	0.188112	-2.800000
0.908401	0.183889	-2.700000
0.910508	0.180962	-2.600000
0.911217	0.179355	-2.500000
0.910566	0.179063	-2.400000
0.908597	0.180057	-2.300000
0.905363	0.182285	-2.200000
0.900916	0.185672	-2.100000
0.895310	0.190129	-2.000000
0.888599	0.195552	-1.900000
0.880834	0.201826	-1.800000
0.872063	0.208829	-1.700000
0.862332	0.216433	-1.600000
0.851682	0.224505	-1.500000
0.840155	0.232913	-1.400000
0.827791	0.241525	-1.300000
0.814629	0.250211	-1.200000
0.800710	0.258846	-1.100000
0.786077	0.267309	-1.000000
0.770775	0.275489	-0.900000
0.754854	0.283279	-0.800000
0.738365	0.290585	-0.700000
0.721368	0.297320	-0.600000
0.703923	0.303412	-0.500000
0.686095	0.308797	-0.400000
0.667954	0.313427	-0.300000
0.649569	0.317266	-0.200000
0.631015	0.320290	-0.100000
0.612365	0.322488	-0.000000
0.593692	0.323862	0.100000
0.575067	0.324426	0.200000
0.556559	0.324204	0.300000
0.538235	0.323230	0.400000
0.520156	0.321545	0.500000
0.502376	0.319198	0.600000
0.484949	0.316243	0.700000
0.467917	0.312736	0.800000
0.451321	0.308737	0.900000
0.435192	0.304307	1.000000
0.419556	0.299506	1.100000
0.404435	0.294392	1.200000
0.389844	0.289022	1.300000
0.375791	0.283449	1.400000
0.362284	0.277724	1.500000
0.349321	0.271893	1.600000
0.336901	0.265997	1.700000
0.325017	0.260074	1.800000
0.313660	0.254159	1.900000
0.302818	0.248280	2.000000
0.292479	0.242463	2.100000
0.282627	0.236730	2.200000
0.273247	0.231099	2.300000
0.264320	0.225585	2.400000
0.255830	0.220202	2.500000
0.247759	0.214958	2.600000
0.240089	0.209860	2.700000
0.232800	0.204915	2.800000
0.225877	0.200125	2.900000
0.219300	0.195493	3.000000
0.213053	0.191019	3.100000
0.207119	0.186702	3.200000
0.201482	0.182541	3.300000
0.196126	0.178533	3.400000
0.191036	0.174676	3.500000
0.186198	0.170965	3.600000
0.181597	0.167398	3.700000
0.177221	0.163969	3.800000
0.173058	0.160675	3.900000
0.169094	0.157509	4.000000
0.165319	0.154469	4.100000
0.161722	0.151548	4.200000
0.158293	0.148742	4.300000
0.155022	0.146045	4.400000
0.151900	0.143454	4.500000
0.148919	0.140963	4.600000
0.146069	0.138568	4.700000
0.143344	0.136264	4.800000
0.140735	0.134047	4.900000
0.138237	0.131911	5.000000
0.135842	0.129854	5.100000
0.133544	0.127871	5.200000
0.131338	0.125958	5.300000
0.129217	0.124111	5.400000
0.127177	0.122327	5.500000
0.125213	0.120602	5.600000
0.123319	0.118933	5.700000
0.121492	0.117316	5.800000
0.119728	0.115748	5.900000
0.118021	0.114227	6.000000
0.116369	0.112749	6.100000
0.114768	0.111312	6.200000
0.113214	0.109913	6.300000
0.111705	0.108550	6.400000
0.110237	0.107220	6.500000
0.108807	0.105920	6.600000
0.107413	0.104649	6.700000
0.106052	0.103405	6.800000
0.104722	0.102185	6.900000
0.103420	0.100988	7.000000
0.102143	0.099811	7.100000
0.100891	0.098653	7.200000
0.099661	0.097513	7.300000
0.098451	0.096389	7.400000
0.097259	0.095278	7.500000
0.096084	0.094181	7.600000
0.094924	0.093095	7.700000
0.093777	0.092019	7.800000
0.092643	0.090953	7.900000
0.091520	0.089894	8.000000
0.090406	0.088843	8.100000
0.089301	0.087797	8.200000
0.088204	0.086756	8.300000
0.087113	0.085720	8.400000
0.086028	0.084687	8.500000
0.084948	0.083656	8.600000
0.083871	0.082628	8.700000
0.082799	0.081601	8.800000
0.081729	0.080576	8.900000
0.080661	0.079550	9.000000
0.079595	0.078526	9.100000
0.078531	0.077500	9.200000
0.077468	0.076475	9.300000
0.076405	0.075449	9.400000
0.075343	0.074422	9.500000
0.074282	0.073394	9.600000
0.073220	0.072365	9.700000
0.072159	0.071335	9.800000
0.071098	0.070304	9.900000
0.070037	0.069272	10.000000
